测试配置,总元素数,K-way时间(ms),传统方法时间(ms),时间加速比,K-way内存(MB),传统方法内存(MB),内存比率
2个列表,200,0.473±0.079,0.124±0.038,0.26x,0.00,0.00,0.96x
2个列表,1000,2.423±0.029,1.675±0.138,0.69x,0.01,0.01,1.32x
2个列表,2000,5.321±0.436,3.537±0.138,0.66x,0.02,0.02,1.44x
3个列表,300,0.556±0.027,0.163±0.008,0.29x,0.00,0.00,1.17x
3个列表,1500,3.830±0.388,4.057±0.242,1.06x,0.01,0.02,1.53x
5个列表,1000,2.088±0.192,2.246±0.101,1.08x,0.01,0.02,1.60x
10个列表,1000,2.275±0.108,4.339±0.171,1.91x,0.01,0.02,1.56x
20个列表,1000,2.443±0.009,8.299±0.400,3.40x,0.01,0.02,1.42x
50个列表,1000,2.723±0.043,19.791±0.155,7.27x,0.01,0.02,1.19x
100个列表,500,4.864±5.688,13.304±0.427,2.74x,0.02,0.01,0.56x
150个列表,750,2.620±0.345,35.046±0.446,13.37x,0.02,0.01,0.56x
200个列表,1000,3.796±0.200,68.640±2.729,18.08x,0.03,0.02,0.56x
250个列表,1250,4.872±0.213,110.204±0.159,22.62x,0.04,0.03,0.61x
300个列表,1500,12.369±0.130,168.599±3.814,13.63x,0.05,0.03,0.57x
400个列表,1200,11.144±0.563,156.023±1.050,14.00x,0.06,0.03,0.40x
500个列表,1500,14.845±0.441,245.311±3.084,16.53x,0.08,0.03,0.40x
600个列表,1200,12.022±0.388,195.325±1.194,16.25x,0.09,0.03,0.31x
700个列表,1400,15.557±0.357,277.672±1.100,17.85x,0.11,0.03,0.29x
800个列表,1600,18.894±0.384,373.763±0.540,19.78x,0.13,0.04,0.28x
900个列表,900,10.410±0.569,158.986±0.968,15.27x,0.14,0.02,0.15x
1000个列表,1000,11.395±0.776,183.473±0.457,16.10x,0.16,0.02,0.15x
2个列表,3000,8.395±0.195,5.533±0.219,0.66x,0.03,0.03,1.28x
3个列表,3000,7.737±0.216,7.605±0.036,0.98x,0.03,0.04,1.43x
5个列表,2500,7.096±0.618,8.369±0.049,1.18x,0.02,0.03,1.58x
100个列表,199,0.631±0.015,1.269±0.019,2.01x,0.01,0.00,0.33x
200个列表,600,2.128±0.226,26.493±0.457,12.45x,0.03,0.01,0.46x
